Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](TimeStep),ZONE ONE:Zone Windows Total Transmitted Solar Radiation Rate [W](TimeStep),ZN001:WALL001:Surface Outside Face Sunlit Fraction [](TimeStep),ZN001:WALL001:Surface Outside Face Incident Solar Radiation Rate per Area [W/m2](TimeStep),ZN001:WALL001:WIN001:Surface Outside Face Sunlit Fraction [](TimeStep),ZN001:WALL001:WIN001:Surface Outside Face Incident Solar Radiation Rate per Area [W/m2](TimeStep),ZN001:WALL001:WIN001:Surface Window Transmitted Solar Radiation Rate [W](TimeStep),ZN001:WALL001:Surface Inside Face Temperature [C](TimeStep),ZN001:WALL001:Surface Outside Face Temperature [C](TimeStep),ZN001:WALL001:WIN001:Surface Inside Face Temperature [C](TimeStep),ZN001:WALL001:WIN001:Surface Outside Face Temperature [C](TimeStep),ZONE ONE:Zone Mean Air Temperature [C](TimeStep) 
 01/01  20:30:00,-1.4,0.0,0.0,0.0,0.0,0.0,0.0,-2.90958259780733,-2.7185766446948937,-2.882119102592128,-2.8738956500240535,-2.900890042677242 
 01/01  20:45:00,-1.5499999999999999,0.0,0.0,0.0,0.0,0.0,0.0,-2.958241941167664,-3.0968733363621467,-2.981887443782057,-3.1346728764578986,-2.908411671691766 
 01/01  21:00:00,-1.7,0.0,0.0,0.0,0.0,0.0,0.0,-3.0045076182996786,-3.583568486828451,-3.0922086728245405,-3.425184343801959,-2.925727838529413 
 01/01  21:15:00,-1.5499999999999999,0.0,0.0,0.0,0.0,0.0,0.0,-2.9635263859898095,-3.0515346381211678,-3.0113739505655987,-3.1181570218931258,-2.9410344307860054 
 01/01  21:30:00,-1.4,0.0,0.0,0.0,0.0,0.0,0.0,-2.927709275906197,-2.6912996811506777,-2.9166543228413959,-2.861641225892754,-2.9466954805584617 
 01/01  21:45:00,-1.25,0.0,0.0,0.0,0.0,0.0,0.0,-2.898871873670048,-2.4580621089078824,-2.846561170089501,-2.679991746256974,-2.9434408052154898 
 01/01  22:00:00,-1.1,0.0,0.0,0.0,0.0,0.0,0.0,-2.8694491621922895,-2.151898555195022,-2.7579842475017246,-2.4352328671494094,-2.93431087185013 
 01/01  22:15:00,-1.25,0.0,0.0,0.0,0.0,0.0,0.0,-2.895774943943529,-2.4562570940056709,-2.839258900846062,-2.7153012952370547,-2.926088102181218 
 01/01  22:30:00,-1.4,0.0,0.0,0.0,0.0,0.0,0.0,-2.9248752918207447,-2.76119694996515,-2.9411284549410086,-3.0048929278163998,-2.923255039288339 
 01/01  22:45:00,-1.5499999999999999,0.0,0.0,0.0,0.0,0.0,0.0,-2.9595152517066816,-3.0678054081981469,-3.0430006740902515,-3.2940683784285058,-2.9269178416207368 
 01/01  23:00:00,-1.7,0.0,0.0,0.0,0.0,0.0,0.0,-2.9884187376953554,-3.3713728724689169,-3.143104845322455,-3.5831433630289668,-2.937261125370325 
 01/01  23:15:00,-1.7,0.0,0.0,0.0,0.0,0.0,0.0,-2.9982922462090078,-3.4243871161925365,-3.1705129587700755,-3.6379215127487329,-2.950808704607875 
 01/01  23:30:00,-1.7,0.0,0.0,0.0,0.0,0.0,0.0,-3.010520914550539,-3.478614159300263,-3.1938235625483459,-3.693205184717044,-2.964576166881337 
 01/01  23:45:00,-1.7,0.0,0.0,0.0,0.0,0.0,0.0,-3.023082715269853,-3.532757054728345,-3.21802230834345,-3.74887221621168,-2.977517868559581 
 01/01  24:00:00,-1.7,0.0,0.0,0.0,0.0,0.0,0.0,-3.035620753488178,-3.5868833394847225,-3.2422358085721045,-3.804497776233461,-2.9896791010157965 
